"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","1788.2","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","1855.1","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","1900.2","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","1974.6","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","2035.3","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683373","11.1.1.1.3","2096.7","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","593.6","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","620.3","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","617.4","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","628.1","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","616.2","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","627.8","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","639.1","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683374","11.1.1.1.4","637.7","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1432.5","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1471.7","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1464.6","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1512.0","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1513.9","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1565.4","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1622.4","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368623","11.1.1.2.1","1655.3","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","201.4","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","205.0","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","194.3","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","198.0","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","195.1","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","205.5","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","211.2","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683375","11.1.1.2.2","216.4","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","911.8","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","927.1","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","930.9","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","969.2","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","986.2","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","1027.5","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","1066.5","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683376","11.1.1.2.3","1090.3","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","319.3","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","339.6","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","339.4","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","344.7","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","332.5","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","332.4","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","344.8","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683377","11.1.1.2.4","348.7","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1304.7","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1345.1","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1316.5","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1360.4","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1397.1","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1438.5","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1463.5","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368793","11.1.1.3.1","1485.5","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","197.7","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","202.1","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","181.2","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","191.2","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","199.5","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","196.0","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","200.4","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683378","11.1.1.3.2","190.0","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","832.6","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","862.2","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","857.3","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","885.8","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","914.0","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","947.1","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","968.8","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683379","11.1.1.3.3","1006.4","","","","1"
"2018","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","274.3","","","","1"
"2019","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","280.7","","","","1"
"2020","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","278.0","","","","1"
"2021","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","283.4","","","","1"
"2022","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","283.7","","","","1"
"2023","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","295.4","","","","1"
"2024","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","294.3","","","","1"
"2025","British Columbia","2021A000259","Labour force","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683380","11.1.1.3.4","289.0","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2609.9","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2681.1","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2527.3","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2683.9","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2775.7","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2847.9","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2914.0","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368482","11.2.1.1.1","2946.2","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","369.1","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","369.8","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","304.8","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","341.6","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","359.4","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","363.1","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","364.8","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19683633","11.2.1.1.2","351.8","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1673.5","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1717.7","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1651.9","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1759.3","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1824.1","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1885.0","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1935.3","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19683634","11.2.1.1.3","1986.1","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","567.4","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","593.6","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","570.6","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","583.1","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","592.2","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","599.9","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","614.0","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19683635","11.2.1.1.4","608.3","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1365.3","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1401.6","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1330.2","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1413.1","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1440.1","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1484.2","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1533.4","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368652","11.2.1.2.1","1553.4","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","184.7","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","184.1","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","156.7","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","173.1","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","174.1","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","185.3","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","187.2","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19683636","11.2.1.2.2","189.3","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","875.1","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","891.9","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","860.3","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","918.8","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","947.4","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","979.6","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","1014.4","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19683637","11.2.1.2.3","1032.5","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","305.5","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","325.5","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","313.2","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","321.2","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","318.7","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","319.3","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","331.8","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19683638","11.2.1.2.4","331.6","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1244.6","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1279.6","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1197.1","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1270.9","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1335.6","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1363.7","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1380.7","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 years and over","Persons in thousands","428","thousands","3","v2368822","11.2.1.3.1","1392.8","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","184.4","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","185.7","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","148.0","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","168.5","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","185.3","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","177.7","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","177.6","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Women+","15 to 24 years","Persons in thousands","428","thousands","3","v19683639","11.2.1.3.2","162.5","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","798.4","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","825.8","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","791.6","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","840.5","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","876.7","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","905.3","","","","1"
"2024","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","920.9","","","","1"
"2025","British Columbia","2021A000259","Employment","Total, all industries","Women+","25 to 54 years","Persons in thousands","428","thousands","3","v19683640","11.2.1.3.3","953.6","","","","1"
"2018","British Columbia","2021A000259","Employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683641","11.2.1.3.4","261.9","","","","1"
"2019","British Columbia","2021A000259","Employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683641","11.2.1.3.4","268.1","","","","1"
"2020","British Columbia","2021A000259","Employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683641","11.2.1.3.4","257.4","","","","1"
"2021","British Columbia","2021A000259","Employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683641","11.2.1.3.4","261.9","","","","1"
"2022","British Columbia","2021A000259","Employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683641","11.2.1.3.4","273.5","","","","1"
"2023","British Columbia","2021A000259","Employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19683641","11.2.1.3.4","280.6","","","","1"
