"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","530.5","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","581.7","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","571.4","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","567.6","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","578.6","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368538","11.4.1.1.1","597.8","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","172.9","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","178.9","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","150.0","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","171.9","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","184.6","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","174.2","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","173.9","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684137","11.4.1.1.2","174.4","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","234.0","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","250.0","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","228.3","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","257.6","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","235.8","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","251.1","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","250.3","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684138","11.4.1.1.3","266.6","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","147.5","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","154.1","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","152.2","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","152.2","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","151.0","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","142.2","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","154.4","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684139","11.4.1.1.4","156.8","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","183.7","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","207.8","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","185.9","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","210.5","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","196.6","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","201.6","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","204.6","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368708","11.4.1.2.1","221.8","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","68.7","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","78.8","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","65.1","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","76.9","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","75.4","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","73.1","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","73.1","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","15 to 24 years","Persons in thousands","428","thousands","3","v19684140","11.4.1.2.2","79.0","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","59.3","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","66.8","","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","61.0","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","72.2","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","62.1","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","72.4","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","70.1","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v19684141","11.4.1.2.3","78.4","","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","55.7","","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Total, all industries","Men+","55 years and over","Persons in thousands","428","thousands","3","v19684142","11.4.1.2.4","62.1","","","","1"
